name, atom, M0, P11
PRL, C3, -0.200475026, 6.87396669992 0 0 6.87396669992 0 6.87396669992
PRL, C2, 0.060321826, 7.09144286893 0 0 7.09144286893 0 7.09144286893
PRL, C1, 0.26719675, 6.7355401541 0 0 6.7355401541 0 6.7355401541
PRL, O, -0.634471811, 5.36536743365 0 0 5.36536743365 0 5.36536743365
PRL, H3, 0.049462171, 2.56214536127 0 0 2.56214536127 0 2.56214536127
PRL, H2, 0.002378823, 2.58204579817 0 0 2.58204579817 0 2.58204579817
PRL, H1, -0.015210808, 2.59075489772 0 0 2.59075489772 0 2.59075489772
PRL, HO, 0.38470572, 2.01745905864 0 0 2.01745905864 0 2.01745905864
ETL, C2, -0.291486066, 6.96635616811 0 0 6.96635616811 0 6.96635616811
ETL, C1, 0.461551042, 6.71481668179 0 0 6.71481668179 0 6.71481668179
ETL, O, -0.64778794, 5.43599457089 0 0 5.43599457089 0 5.43599457089
ETL, H2, 0.071143321, 2.58898746175 0 0 2.58898746175 0 2.58898746175
ETL, H1, -0.056808665, 2.6010518174 0 0 2.6010518174 0 2.6010518174
ETL, HO, 0.377910351, 2.04999406101 0 0 2.04999406101 0 2.04999406101
PRC, O1, -0.408924086, 5.09781103091 0 0 5.09781103091 0 5.09781103091
PRC, C1, 0.382179488, 6.26783356928 0 0 6.26783356928 0 6.26783356928
PRC, C2, 0.198247049, 5.90126044593 0 0 5.90126044593 0 5.90126044593
PRC, O2, -0.370043966, 5.2139033984 0 0 5.2139033984 0 5.2139033984
PRC, C3, -0.492003426, 6.7645474728 0 0 6.7645474728 0 6.7645474728
PRC, C4, 0.802804339, 7.8282756245 0 0 7.8282756245 0 7.8282756245
PRC, O3, -0.567159577, 6.35161501108 0 0 6.35161501108 0 6.35161501108
PRC, H1, 0.012774469, 2.52143499518 0 0 2.52143499518 0 2.52143499518
PRC, H2, 0.011849007, 2.41556189951 0 0 2.41556189951 0 2.41556189951
PRC, H3, 0.139475917, 2.46079682364 0 0 2.46079682364 0 2.46079682364
FRM, O, -0.51671575, 6.20123735779 0 0 6.20123735779 0 6.20123735779
FRM, C, 0.528307724, 8.10949784355 0 0 8.10949784355 0 8.10949784355
